DataCadastro;DataConclusaoCadastro;NomeEscola;INEP;UFEscola;MunicipioEscola;IDEscola;IDProfessor
/Date(1758719186947)/;/Date(1758720727333)/;EM MARIA AMELIA BARROSO OLIVEIRA;21077258;Maranhão;Pindaré-Mirim;6456;20205
/Date(1758721084503)/;/Date(1758736079307)/;UI PROFESSOR UBIRAJARA RAYOL;21224889;Maranhão;Alto Alegre do Maranhão;6478;20235
/Date(1758730022997)/;/Date(1758730295723)/;UI JARBAS PASSARINHO;21008418;Maranhão;Raposa;6536;20240
/Date(1758733196180)/;/Date(1758733518850)/;EM PROFESSOR RUBEM ALMEIDA;21224846;Maranhão;Alto Alegre do Maranhão;6557;20341
/Date(1758742525613)/;/Date(1758743306780)/;ESCOLA QUILOMBOLA JOSE PEREIRA SILVA;21277192;Maranhão;Alto Alegre do Maranhão;6622;20341
/Date(1758736405550)/;/Date(1758739779770)/;UI JUVENCIO VIEIRA;21327017;Maranhão;Bacuri;6581;20371
/Date(1758744593850)/;/Date(1758744936143)/;UI ELIZA MONTEIRO;21110395;Maranhão;Alto Alegre do Maranhão;6636;20441
/Date(1758753156850)/;/Date(1758758033247)/;GRUPO ESCOLAR CANDIDO ROSA SERRA;21050180;Maranhão;São João Batista;6672;20491
/Date(1758817402733)/;/Date(1758817710027)/;UNIDADE INTEGRADA SARNEY FILHO;21083860;Maranhão;Nova Olinda do Maranhão;6877;20787
/Date(1758820033243)/;/Date(1758834077127)/;COLEGIO OBJETIVO PACO;21287970;Maranhão;Paço do Lumiar;6892;20803
/Date(1758822818277)/;/Date(1758822968507)/;CEF LAURO PEREIRA;21531676;Maranhão;Timbiras;6913;20834
/Date(1758828977957)/;/Date(1758829989547)/;ESCOLA ALBERTO ABDALLA;21150559;Maranhão;Timbiras;6958;20886
/Date(1756321843787)/;/Date(1758743186083)/;EE CARLOS DRUMOND DE ANDRADE;31008621;Minas Gerais;Betim;2131;2489
/Date(1754939127497)/;/Date(1758068426863)/;ESCOLA SANDOVAL SOARES DE AZEVEDO - ESSA;31014362;Minas Gerais;Ibirité;834;2491
/Date(1756329157963)/;/Date(1756486205297)/;ESCOLA MUNICIPAL JOSE MARIA DOS MARES GUIA;31267074;Minas Gerais;Barão de Cocais;2153;2492
/Date(1754911376617)/;/Date(1757593076890)/;EM SERAFIM MACHADO NAYA;31154717;Minas Gerais;Nanuque;802;2495
/Date(1755543350863)/;/Date(1755808989870)/;BOM SUCESSO ESCOLA MONTESSORIANA;31365599;Minas Gerais;Unaí;1347;2496
/Date(1754347701793)/;/Date(1758713705940)/;CENTRO EDUCACIONAL PAULO FREIRE;31355488;Minas Gerais;Rio Paranaíba;335;2499
/Date(1757026231657)/;/Date(1758210730873)/;EE MONSENHOR ROCHA;31019747;Minas Gerais;Santa Bárbara do Leste;2876;2501
/Date(1754586933857)/;/Date(1758805740080)/;COLEGIO PIO XI DE MANHUMIRIM;31369527;Minas Gerais;Manhumirim;606;2505
/Date(1755030511917)/;/Date(1758315280070)/;EM EDMUNDO LOURENCO;31112178;Minas Gerais;João Pinheiro;942;2506
/Date(1757799300327)/;/Date(1757799552597)/;COLLEGIUM PRISMA;31260541;Minas Gerais;Montes Claros;4096;2507
/Date(1757935088633)/;/Date(1757935764433)/;EE PROFESSOR LINDOLFO;31346160;Minas Gerais;São João da Ponte;4236;2508
/Date(1757344185567)/;/Date(1757346852377)/;EE DE LELIVELDIA;31023132;Minas Gerais;Berilo;3092;2509
/Date(1754443809277)/;/Date(1756988621193)/;COLEGIO LOYOLA;31006238;Minas Gerais;Belo Horizonte;463;2511
/Date(1758195580470)/;/Date(1758196030583)/;EE BRASIL;31174921;Minas Gerais;Varginha;5140;2512
/Date(1755860030607)/;/Date(1755862215727)/;EE DONA SEMIANA;31172910;Minas Gerais;Itanhandu;1701;2513
/Date(1756228021357)/;/Date(1756291818880)/;ESCOLA MUNICIPAL REALINA ADELINA COSTA;31323616;Minas Gerais;Governador Valadares;2039;2516
/Date(1757103816327)/;/Date(1757105521627)/;EE VICENTE JOSE SOARES;31043362;Minas Gerais;Governador Valadares;2977;2516
/Date(1757528108553)/;/Date(1757987627473)/;COLEGIO VICENTINO IMACULADA CONCEICAO;31018767;Minas Gerais;Barbacena;3428;2517
/Date(1754060688420)/;/Date(1756756796020)/;COLEGIO APOGEU - UNIDADE VI;31230278;Minas Gerais;Juiz de Fora;57;2519
/Date(1754313150853)/;/Date(1755263804420)/;ESCOLA LAPIS DE COR;31281107;Minas Gerais;Inhapim;232;2523
/Date(1755191557620)/;/Date(1756489560883)/;COLEGIO LICEU ALBERT EINSTEIN;31260762;Minas Gerais;Uberaba;1102;2527
/Date(1756996944160)/;/Date(1757947376910)/;COLEGIO TIRADENTES PMMG - UNIDADE CURVELO;31368288;Minas Gerais;Curvelo;2804;2530
/Date(1757886172237)/;/Date(1758118911707)/;EE MARIANO GOMES;31129534;Minas Gerais;Santo Antônio do Grama;4178;2533
/Date(1755195799333)/;/Date(1756842551920)/;EE DE MACHADO MINEIRO;31184403;Minas Gerais;Águas Vermelhas;1113;2538
/Date(1754415197063)/;/Date(1755088547457)/;COLEGIO ATHENAS EQUIPE DE PONTE NOVA;31231088;Minas Gerais;Ponte Nova;424;2539
/Date(1755008318403)/;/Date(1755014577797)/;FIBONACCI COLEGIO;31349720;Minas Gerais;Ipatinga;894;2543
/Date(1756138504050)/;/Date(1758108197957)/;EM SERGIO LUCIO FERNANDES AMARAL;31098949;Minas Gerais;Muriaé;1896;2547
/Date(1758115876727)/;/Date(1758116613120)/;INSTITUTO SANTO ANTONIO DE PADUA;31107981;Minas Gerais;Itabirito;4907;2549
/Date(1754419819323)/;/Date(1758499560430)/;COLEGUIUM - UNIDADE OURO PRETO;31217123;Minas Gerais;Belo Horizonte;431;2555
